|!                          |SELECT ! true;                                                                                                                                         |PASSED |OK
|%                          |SELECT 2 % 1.8;                                                                                                                                        |PASSED |OK
|&                          |SELECT 3 & 5;                                                                                                                                          |PASSED |OK
|*                          |SELECT 2 * 3;                                                                                                                                          |PASSED |OK
|+                          |SELECT 1 + 2;                                                                                                                                          |PASSED |OK
|-                          |SELECT 2 - 1;                                                                                                                                          |PASSED |OK
|/                          |SELECT 3 / 2;                                                                                                                                          |PASSED |OK
|<                          |SELECT 1 < 2;                                                                                                                                          |PASSED |OK
|<=                         |SELECT 2 <= 2;                                                                                                                                         |PASSED |OK
|<=>                        |SELECT 2 <=> 2;                                                                                                                                        |PASSED |OK
|=                          |SELECT 2 = 2;                                                                                                                                          |PASSED |OK
|==                         |SELECT 2 == 2;                                                                                                                                         |PASSED |OK
|>                          |SELECT 2 > 1;                                                                                                                                          |PASSED |OK
|>=                         |SELECT 2 >= 1;                                                                                                                                         |PASSED |OK
|^                          |SELECT 3 ^ 5;                                                                                                                                          |PASSED |OK
|abs                        |SELECT abs(-1);                                                                                                                                        |PASSED |OK
|acos                       |SELECT acos(1);                                                                                                                                        |PASSED |OK
|and                        |SELECT true and true;                                                                                                                                  |PASSED |OK
|any                        |SELECT any(col) FROM VALUES (true), (false), (false) AS tab(col);                                                                                      |PASSED |OK
|any_value                  |SELECT any_value(col) FROM VALUES (10), (5), (20) AS tab(col);                                                                                         |PASSED |OK
|ascii                      |SELECT ascii('222');                                                                                                                                   |PASSED |OK
|asin                       |SELECT asin(0);                                                                                                                                        |PASSED |OK
|atan                       |SELECT atan(0);                                                                                                                                        |PASSED |OK
|atan2                      |SELECT atan2(0, 0);                                                                                                                                    |PASSED |OK
|avg                        |SELECT avg(col) FROM VALUES (1), (2), (3) AS tab(col);                                                                                                 |PASSED |OK
|bit_and                    |SELECT bit_and(col) FROM VALUES (3), (5) AS tab(col);                                                                                                  |PASSED |OK
|bit_length                 |SELECT bit_length('Spark SQL');                                                                                                                        |PASSED |OK
|bit_or                     |SELECT bit_or(col) FROM VALUES (3), (5) AS tab(col);                                                                                                   |PASSED |OK
|bit_xor                    |SELECT bit_xor(col) FROM VALUES (3), (5) AS tab(col);                                                                                                  |PASSED |OK
|bool_and                   |SELECT bool_and(col) FROM VALUES (true), (true), (true) AS tab(col);                                                                                   |PASSED |OK
|bool_or                    |SELECT bool_or(col) FROM VALUES (true), (false), (false) AS tab(col);                                                                                  |PASSED |OK
|btrim                      |SELECT btrim('    SparkSQL   ');                                                                                                                       |PASSED |OK
|ceil                       |SELECT ceil(-0.1);                                                                                                                                     |PASSED |OK
|ceiling                    |SELECT ceiling(-0.1);                                                                                                                                  |PASSED |OK
|char                       |SELECT char(65);                                                                                                                                       |PASSED |OK
|char_length                |SELECT char_length('Spark SQL ');                                                                                                                      |PASSED |OK
|character_length           |SELECT character_length('Spark SQL ');                                                                                                                 |PASSED |OK
|chr                        |SELECT chr(65);                                                                                                                                        |PASSED |OK
|coalesce                   |SELECT coalesce(NULL, 1, NULL);                                                                                                                        |PASSED |OK
|concat_ws                  |SELECT concat_ws(' ', 'Spark', 'SQL');                                                                                                                 |PASSED |OK
|contains                   |SELECT contains('Spark SQL', 'Spark');                                                                                                                 |PASSED |OK
|cos                        |SELECT cos(0);                                                                                                                                         |PASSED |OK
|count                      |SELECT count(*) FROM VALUES (NULL), (5), (5), (20) AS tab(col);                                                                                        |PASSED |OK
|count_if                   |SELECT count_if(col % 2 = 0) FROM VALUES (NULL), (0), (1), (2), (3) AS tab(col);                                                                       |PASSED |OK
|covar_pop                  |SELECT covar_pop(c1, c2) FROM VALUES (1,1), (2,2), (3,3) AS tab(c1, c2);                                                                               |PASSED |OK
|covar_samp                 |SELECT covar_samp(c1, c2) FROM VALUES (1,1), (2,2), (3,3) AS tab(c1, c2);                                                                              |PASSED |OK
|curdate                    |SELECT curdate();                                                                                                                                      |PASSED |OK
|current_catalog            |SELECT current_catalog();                                                                                                                              |PASSED |OK
|current_database           |SELECT current_database();                                                                                                                             |PASSED |OK
|current_date               |SELECT current_date();                                                                                                                                 |PASSED |OK
|current_schema             |SELECT current_schema();                                                                                                                               |PASSED |OK
